Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Sint Maarten,North America,43002,679,1,22,,572,,85,6,15790,512,3803,88438,
Papua New Guinea,Australia/Oceania,8990371,540,,7,,527,,6,,60,0.8,25955,2887,WesternPacific
Taiwan,Asia,23828127,518,1,7,,485,1,26,,22,0.3,94734,3976,WesternPacific
Burundi,Africa,11979552,514,1,1,,472,,41,,43,0.08,37522,3132,Africa
Tanzania,Africa,60161754,509,,21,,183,,305,7,8,0.3,,,Africa
Comoros,Africa,874319,487,,7,,466,,14,,557,8,,,Africa
Faeroe Islands,Europe,48912,475,1,,,441,6,34,,9711,,134070,2741045,
Curaçao,North America,164269,462,10,1,,242,11,219,2,2812,6,8045,48975,
Gibraltar,Europe,33688,432,,,,363,3,69,,12824,,49149,1458947,
Saint Martin,North America,38835,412,,8,,309,,95,11,10609,206,5170,133127,
Eritrea,Africa,3559089,398,,,,358,,40,,112,,,,Africa
Mauritius,Africa,1272324,385,,10,,357,,18,,303,8,246326,193603,Africa
Isle of Man,Europe,85151,344,2,24,,316,1,4,,4040,282,13627,160033,
Mongolia,Asia,3291861,314,1,,,307,,7,1,95,,73641,22371,WesternPacific
Bhutan,Asia,773812,298,15,,,237,7,61,,385,,142510,184166,South-EastAsia
Cambodia,Asia,16778683,280,2,,,275,,5,,17,,144119,8589,WesternPacific
Monaco,Europe,39315,223,1,2,,193,4,28,1,5672,51,51953,1321455,Europe
Cayman Islands,North America,65922,213,,1,,209,,3,,3231,15,39814,603956,
Barbados,North America,287468,199,,7,,182,,10,,692,24,24628,85672,Americas
Bermuda,North America,62217,181,,9,,169,,3,,2909,145,66664,1071476,Americas
Brunei ,Asia,438568,146,,3,,142,,1,,333,7,58914,134333,
Seychelles,Africa,98506,146,,,,143,,3,,1482,,5200,52789,Africa
